file,speaker,label,y_true,y_pred,score,dist
602.wav,Donald Trump,bona-fide,0,1,0.07593272,0.07693562
605.wav,Donald Trump,spoof,1,1,0.08849001,0.08949291
607.wav,Donald Trump,bona-fide,0,1,0.056695383,0.057698287
636.wav,Donald Trump,spoof,1,1,0.09556085,0.09656375
638.wav,Donald Trump,bona-fide,0,1,0.061297894,0.062300798
643.wav,Donald Trump,bona-fide,0,1,0.08546867,0.08647157
645.wav,Donald Trump,bona-fide,0,1,0.06908005,0.07008295
649.wav,Donald Trump,bona-fide,0,1,0.076843046,0.077845946
658.wav,Donald Trump,bona-fide,0,1,0.044476025,0.04547893
663.wav,Donald Trump,spoof,1,1,0.054798372,0.055801276
667.wav,Donald Trump,bona-fide,0,1,0.06355513,0.06455803
688.wav,Norm MacDonald,spoof,1,1,0.07647489,0.07747779
694.wav,Donald Trump,bona-fide,0,1,0.043932024,0.04493493
697.wav,Donald Trump,bona-fide,0,1,0.07858059,0.07958349
714.wav,Donald Trump,bona-fide,0,1,0.05289571,0.053898614
740.wav,Donald Trump,bona-fide,0,1,0.041621752,0.042624656
747.wav,Donald Trump,bona-fide,0,1,0.05313775,0.054140653
761.wav,Donald Trump,bona-fide,0,1,0.053786464,0.054789368
763.wav,Norm MacDonald,spoof,1,1,0.102925465,0.103928365
767.wav,Donald Trump,bona-fide,0,1,0.040889215,0.04189212
771.wav,Donald Trump,bona-fide,0,1,0.05654719,0.057550095
772.wav,Donald Trump,bona-fide,0,1,0.048002284,0.049005188
779.wav,Donald Trump,bona-fide,0,1,0.081647776,0.08265068
814.wav,Donald Trump,bona-fide,0,1,0.13768229,0.1386852
823.wav,Donald Trump,bona-fide,0,1,0.06992871,0.07093161
829.wav,Donald Trump,bona-fide,0,1,0.10259117,0.10359407
832.wav,Donald Trump,bona-fide,0,1,0.08741101,0.08841391
845.wav,Donald Trump,bona-fide,0,1,0.089754276,0.09075718
847.wav,Donald Trump,bona-fide,0,1,0.096665554,0.097668454
854.wav,Donald Trump,bona-fide,0,1,0.04627966,0.047282565
859.wav,Donald Trump,bona-fide,0,1,0.10015224,0.10115514
861.wav,Donald Trump,bona-fide,0,1,0.06532741,0.06633031
862.wav,Donald Trump,bona-fide,0,1,0.04801489,0.049017794
878.wav,Donald Trump,bona-fide,0,1,0.056211624,0.05721453
886.wav,Donald Trump,bona-fide,0,1,0.10915582,0.11015872
887.wav,Donald Trump,bona-fide,0,1,0.082218125,0.083221026
894.wav,Donald Trump,bona-fide,0,1,0.054865073,0.055867977
899.wav,Donald Trump,bona-fide,0,1,0.06283157,0.06383447
906.wav,Donald Trump,bona-fide,0,1,0.040194757,0.04119766
919.wav,Donald Trump,bona-fide,0,1,0.09514196,0.09614486
920.wav,Donald Trump,bona-fide,0,1,0.06129941,0.062302314
931.wav,Donald Trump,bona-fide,0,1,0.099872746,0.100875646
936.wav,Donald Trump,bona-fide,0,1,0.08259413,0.08359703
947.wav,Donald Trump,bona-fide,0,1,0.052704368,0.05370727
956.wav,Donald Trump,bona-fide,0,1,0.04809978,0.049102683
958.wav,Donald Trump,bona-fide,0,1,0.08013363,0.08113653
962.wav,Donald Trump,bona-fide,0,1,0.05327376,0.054276664
986.wav,Donald Trump,bona-fide,0,1,0.096948616,0.09795152
1001.wav,Donald Trump,bona-fide,0,1,0.056561124,0.057564028
1005.wav,Donald Trump,bona-fide,0,1,0.06727209,0.06827499
1007.wav,Donald Trump,bona-fide,0,1,0.063597426,0.064600326
1027.wav,Donald Trump,bona-fide,0,1,0.07887421,0.07987711
1029.wav,Donald Trump,bona-fide,0,1,0.09419691,0.09519981
1036.wav,Donald Trump,bona-fide,0,1,0.06340206,0.06440496
1045.wav,Donald Trump,bona-fide,0,1,0.046227306,0.04723021
1046.wav,Donald Trump,bona-fide,0,1,0.09846398,0.09946688
1057.wav,Donald Trump,bona-fide,0,1,0.07267163,0.07367453
1065.wav,Donald Trump,bona-fide,0,1,0.04970707,0.050709974
1075.wav,Donald Trump,bona-fide,0,1,0.063258335,0.064261235
1076.wav,Donald Trump,bona-fide,0,1,0.08841452,0.08941742
1085.wav,Donald Trump,bona-fide,0,1,0.054791313,0.055794217
1089.wav,Donald Trump,bona-fide,0,1,0.073686734,0.074689634
1094.wav,Donald Trump,bona-fide,0,1,0.08980316,0.09080606
1118.wav,Donald Trump,bona-fide,0,1,0.039435476,0.04043838
1143.wav,Donald Trump,bona-fide,0,1,0.07403013,0.07503303
1147.wav,Donald Trump,bona-fide,0,1,0.05618958,0.057192486
1153.wav,Donald Trump,bona-fide,0,1,0.08046912,0.08147202
1155.wav,Donald Trump,bona-fide,0,1,0.058737732,0.059740636
1166.wav,Donald Trump,bona-fide,0,1,0.04373271,0.044735614
1167.wav,Donald Trump,bona-fide,0,1,0.0754733,0.0764762
1176.wav,Donald Trump,bona-fide,0,1,0.062585466,0.063588366
1178.wav,Donald Trump,bona-fide,0,1,0.06946436,0.07046726
1180.wav,Donald Trump,bona-fide,0,1,0.06015162,0.061154526
1185.wav,Donald Trump,bona-fide,0,1,0.058206987,0.05920989
1192.wav,Donald Trump,bona-fide,0,1,0.10081031,0.10181321
1193.wav,Donald Trump,bona-fide,0,1,0.059345853,0.060348757
1199.wav,Donald Trump,bona-fide,0,1,0.039677437,0.04068034
1211.wav,Donald Trump,bona-fide,0,1,0.10068707,0.10168997
1215.wav,Donald Trump,bona-fide,0,1,0.10473954,0.10574244
1221.wav,Donald Trump,bona-fide,0,1,0.05560396,0.056606863
1225.wav,Norm MacDonald,spoof,1,1,0.086499825,0.087502725
1238.wav,Donald Trump,bona-fide,0,1,0.04668078,0.047683682
1244.wav,Donald Trump,spoof,1,1,0.055602606,0.05660551
1269.wav,Donald Trump,bona-fide,0,1,0.06300695,0.06400985
1278.wav,Donald Trump,bona-fide,0,1,0.041329607,0.04233251
1284.wav,Norm MacDonald,bona-fide,0,1,0.060892247,0.06189515
1287.wav,Donald Trump,bona-fide,0,1,0.06688583,0.06788873
1291.wav,Donald Trump,bona-fide,0,1,0.07493707,0.07593997
1296.wav,Donald Trump,bona-fide,0,1,0.14578807,0.14679098
1301.wav,Donald Trump,bona-fide,0,1,0.09068904,0.09169194
1303.wav,Donald Trump,bona-fide,0,1,0.043497812,0.044500716
1317.wav,Donald Trump,bona-fide,0,1,0.10789234,0.10889524
1330.wav,Donald Trump,bona-fide,0,1,0.057748195,0.0587511
1337.wav,Donald Trump,bona-fide,0,1,0.12948677,0.13048968
1362.wav,Donald Trump,bona-fide,0,1,0.09613169,0.09713459
1377.wav,Donald Trump,bona-fide,0,1,0.07357551,0.07457841
1379.wav,Donald Trump,bona-fide,0,1,0.0927514,0.0937543
1385.wav,Donald Trump,bona-fide,0,1,0.14341736,0.14442027
1397.wav,Norm MacDonald,spoof,1,1,0.08804393,0.08904683
1404.wav,Donald Trump,bona-fide,0,1,0.04135654,0.042359445
1408.wav,Donald Trump,bona-fide,0,1,0.053510465,0.05451337
1411.wav,Donald Trump,bona-fide,0,1,0.12067033,0.121673234
1415.wav,Donald Trump,bona-fide,0,1,0.059230577,0.06023348
1418.wav,Donald Trump,spoof,1,1,0.04606838,0.047071286
1419.wav,Donald Trump,bona-fide,0,1,0.08689086,0.08789376
1424.wav,Donald Trump,bona-fide,0,1,0.05571263,0.056715533
1429.wav,Donald Trump,bona-fide,0,1,0.088314004,0.089316905
1440.wav,Donald Trump,bona-fide,0,1,0.07146254,0.07246544
1449.wav,Donald Trump,bona-fide,0,1,0.047205675,0.04820858
1456.wav,Donald Trump,bona-fide,0,1,0.06839578,0.06939868
1460.wav,Donald Trump,bona-fide,0,1,0.0796989,0.0807018
1474.wav,Donald Trump,bona-fide,0,1,0.11224728,0.11325018
1477.wav,Donald Trump,bona-fide,0,1,0.06368411,0.06468701
1486.wav,Norm MacDonald,spoof,1,1,0.08929013,0.09029303
1492.wav,Donald Trump,bona-fide,0,1,0.07434245,0.07534535
1506.wav,Donald Trump,bona-fide,0,1,0.099268414,0.100271314
1513.wav,Donald Trump,bona-fide,0,1,0.057119116,0.05812202
1523.wav,Donald Trump,bona-fide,0,1,0.084519684,0.085522585
1549.wav,Donald Trump,bona-fide,0,1,0.047904458,0.048907362
1570.wav,Donald Trump,bona-fide,0,1,0.051062606,0.05206551
1578.wav,Donald Trump,bona-fide,0,1,0.14377639,0.1447793
1580.wav,Donald Trump,bona-fide,0,1,0.054439858,0.05544276
1589.wav,Donald Trump,bona-fide,0,1,0.068047985,0.069050886
1595.wav,Donald Trump,bona-fide,0,1,0.042116698,0.043119602
1617.wav,Donald Trump,bona-fide,0,1,0.097646594,0.098649494
1650.wav,Donald Trump,spoof,1,1,0.14419936,0.14520226
1658.wav,Donald Trump,bona-fide,0,1,0.056670908,0.057673812
1659.wav,Donald Trump,bona-fide,0,1,0.054964866,0.05596777
1666.wav,Donald Trump,bona-fide,0,1,0.057483982,0.058486886
1677.wav,Donald Trump,bona-fide,0,1,0.060457632,0.061460536
1681.wav,Donald Trump,bona-fide,0,1,0.074371405,0.075374305
1692.wav,Donald Trump,bona-fide,0,1,0.058619928,0.05962283
1701.wav,Donald Trump,bona-fide,0,1,0.098370574,0.099373475
1704.wav,Norm MacDonald,spoof,1,1,0.07224747,0.07325037
1713.wav,Donald Trump,bona-fide,0,1,0.04812556,0.049128465
1718.wav,Donald Trump,bona-fide,0,1,0.0854329,0.0864358
1723.wav,Donald Trump,bona-fide,0,1,0.057526994,0.0585299
1729.wav,Donald Trump,bona-fide,0,1,0.11145152,0.11245442
1738.wav,Donald Trump,bona-fide,0,1,0.07206427,0.07306717
1765.wav,Donald Trump,bona-fide,0,1,0.09904918,0.10005208
1775.wav,Donald Trump,bona-fide,0,1,0.090136625,0.091139525
1778.wav,Donald Trump,bona-fide,0,1,0.058010053,0.059012957
1781.wav,Donald Trump,bona-fide,0,1,0.060793206,0.06179611
1787.wav,Donald Trump,bona-fide,0,1,0.04701877,0.048021674
1802.wav,Donald Trump,bona-fide,0,1,0.050271247,0.05127415
1803.wav,Donald Trump,bona-fide,0,1,0.04172979,0.042732693
1815.wav,Donald Trump,spoof,1,1,0.079338335,0.080341235
1817.wav,Donald Trump,bona-fide,0,1,0.06828697,0.06928987
1820.wav,Donald Trump,bona-fide,0,1,0.050446015,0.05144892
1841.wav,Donald Trump,bona-fide,0,1,0.08720242,0.08820532
1857.wav,Donald Trump,bona-fide,0,1,0.06735824,0.06836114
1864.wav,Donald Trump,bona-fide,0,1,0.060664494,0.061667398
1865.wav,Donald Trump,bona-fide,0,1,0.075840436,0.076843336
1869.wav,Donald Trump,bona-fide,0,1,0.073610485,0.074613385
1871.wav,Donald Trump,bona-fide,0,1,0.053297475,0.05430038
1910.wav,Donald Trump,bona-fide,0,1,0.0558133,0.056816205
1927.wav,Donald Trump,bona-fide,0,1,0.089795835,0.090798736
1931.wav,Norm MacDonald,spoof,1,1,0.06466583,0.06566873
1961.wav,Donald Trump,bona-fide,0,1,0.061586205,0.06258911
1963.wav,Donald Trump,bona-fide,0,1,0.07971667,0.08071957
1973.wav,Donald Trump,bona-fide,0,1,0.03771338,0.038716283
1977.wav,Donald Trump,bona-fide,0,1,0.049446385,0.05044929
1994.wav,Donald Trump,bona-fide,0,1,0.05312634,0.054129243
1995.wav,Donald Trump,bona-fide,0,1,0.07577909,0.07678199
1999.wav,Donald Trump,bona-fide,0,1,0.07167933,0.07268223
2014.wav,Donald Trump,bona-fide,0,1,0.11002133,0.11102423
2018.wav,Donald Trump,bona-fide,0,1,0.05700857,0.058011472
2020.wav,Donald Trump,bona-fide,0,1,0.09742665,0.09842955
2031.wav,Norm MacDonald,spoof,1,1,0.07070038,0.07170328
2039.wav,Donald Trump,bona-fide,0,1,0.08907602,0.09007892
2041.wav,Donald Trump,bona-fide,0,1,0.05466815,0.055671055
2049.wav,Donald Trump,bona-fide,0,1,0.088265486,0.08926839
2057.wav,Donald Trump,bona-fide,0,1,0.046939947,0.04794285
2061.wav,Donald Trump,bona-fide,0,1,0.06383721,0.06484011
2064.wav,Donald Trump,bona-fide,0,1,0.046207536,0.04721044
2070.wav,Donald Trump,bona-fide,0,1,0.042052276,0.04305518
2072.wav,Donald Trump,bona-fide,0,1,0.051383514,0.052386418
2085.wav,Donald Trump,bona-fide,0,1,0.053361822,0.054364726
2097.wav,Donald Trump,spoof,1,1,0.04749531,0.048498213
2101.wav,Donald Trump,bona-fide,0,1,0.05319956,0.054202463
2102.wav,Donald Trump,bona-fide,0,1,0.05345426,0.054457165
2103.wav,Donald Trump,bona-fide,0,1,0.042719,0.043721903
2107.wav,Donald Trump,bona-fide,0,1,0.09213826,0.09314116
2111.wav,Donald Trump,bona-fide,0,1,0.051939107,0.05294201
2126.wav,Donald Trump,bona-fide,0,1,0.04999608,0.050998986
2135.wav,Donald Trump,bona-fide,0,1,0.07232399,0.07332689
2147.wav,Donald Trump,bona-fide,0,1,0.060908705,0.06191161
2151.wav,Norm MacDonald,spoof,1,1,0.12250711,0.12351001
2160.wav,Donald Trump,bona-fide,0,1,0.06900743,0.07001033
2173.wav,Donald Trump,bona-fide,0,1,0.09812452,0.09912742
2176.wav,Donald Trump,bona-fide,0,1,0.09954007,0.10054297
2178.wav,Donald Trump,bona-fide,0,1,0.05332323,0.054326136
2194.wav,Donald Trump,bona-fide,0,1,0.08442861,0.08543151
2211.wav,Norm MacDonald,spoof,1,1,0.09317853,0.09418143
2216.wav,Donald Trump,bona-fide,0,1,0.093941845,0.094944745
2219.wav,Donald Trump,bona-fide,0,1,0.057066802,0.058069706
2222.wav,Donald Trump,bona-fide,0,1,0.1304842,0.1314871
2234.wav,Donald Trump,bona-fide,0,1,0.05336142,0.054364324
2242.wav,Donald Trump,bona-fide,0,1,0.047302917,0.04830582
2249.wav,Norm MacDonald,spoof,1,1,0.06397901,0.06498191
2250.wav,Donald Trump,bona-fide,0,1,0.051324937,0.05232784
2254.wav,Donald Trump,bona-fide,0,1,0.050815795,0.0518187
2269.wav,Donald Trump,bona-fide,0,1,0.053376492,0.054379396
2288.wav,Donald Trump,bona-fide,0,1,0.06116303,0.062165935
2291.wav,Norm MacDonald,bona-fide,0,1,0.073406525,0.074409425
2294.wav,Donald Trump,bona-fide,0,1,0.11387801,0.11488091
2296.wav,Donald Trump,bona-fide,0,1,0.0669834,0.0679863
2304.wav,Donald Trump,bona-fide,0,1,0.081412196,0.0824151
2316.wav,Donald Trump,bona-fide,0,1,0.073089436,0.074092336
2327.wav,Donald Trump,spoof,1,1,0.05630863,0.057311535
2340.wav,Donald Trump,bona-fide,0,1,0.07274289,0.07374579
2343.wav,Norm MacDonald,bona-fide,0,1,0.055246323,0.056249227
2344.wav,Donald Trump,bona-fide,0,1,0.04956219,0.050565094
2352.wav,Donald Trump,bona-fide,0,1,0.096832894,0.097835794
2355.wav,Donald Trump,bona-fide,0,1,0.121560834,0.122563735
2363.wav,Donald Trump,spoof,1,1,0.059551712,0.060554616
2377.wav,Donald Trump,bona-fide,0,1,0.032231715,0.03323462
2386.wav,Donald Trump,bona-fide,0,1,0.1152332,0.1162361
2413.wav,Donald Trump,bona-fide,0,1,0.08935138,0.09035428
2418.wav,Donald Trump,bona-fide,0,1,0.061489385,0.06249229
2439.wav,Donald Trump,bona-fide,0,1,0.10259574,0.10359864
2446.wav,Donald Trump,bona-fide,0,1,0.055093534,0.05609644
2456.wav,Donald Trump,bona-fide,0,1,0.07111334,0.07211624
2466.wav,Donald Trump,bona-fide,0,1,0.044019684,0.04502259
2468.wav,Donald Trump,bona-fide,0,1,0.03904595,0.040048853
2473.wav,Donald Trump,bona-fide,0,1,0.061121617,0.06212452
2488.wav,Donald Trump,bona-fide,0,1,0.06958814,0.07059104
2497.wav,Donald Trump,bona-fide,0,1,0.060966257,0.06196916
2498.wav,Donald Trump,bona-fide,0,1,0.08282177,0.08382467
2501.wav,Donald Trump,bona-fide,0,1,0.045403548,0.04640645
2509.wav,Donald Trump,bona-fide,0,1,0.04946978,0.050472684
2530.wav,Donald Trump,bona-fide,0,1,0.09369378,0.09469668
2594.wav,Donald Trump,bona-fide,0,1,0.082158305,0.083161205
2596.wav,Donald Trump,bona-fide,0,1,0.08624138,0.08724428
2609.wav,Donald Trump,bona-fide,0,1,0.08660763,0.08761053
2611.wav,Donald Trump,bona-fide,0,1,0.059965625,0.06096853
2616.wav,Donald Trump,bona-fide,0,1,0.09610238,0.09710528
2632.wav,Donald Trump,bona-fide,0,1,0.061466463,0.062469367
2653.wav,Donald Trump,bona-fide,0,1,0.051601514,0.05260442
2662.wav,Donald Trump,bona-fide,0,1,0.25317654,0.25417945
2663.wav,Donald Trump,bona-fide,0,1,0.058633607,0.05963651
2678.wav,Donald Trump,bona-fide,0,1,0.072096065,0.073098965
2690.wav,Donald Trump,bona-fide,0,1,0.050016176,0.05101908
2739.wav,Donald Trump,bona-fide,0,1,0.06260529,0.06360819
2746.wav,Donald Trump,bona-fide,0,1,0.050184328,0.051187232
2755.wav,Donald Trump,bona-fide,0,1,0.058290027,0.05929293
2766.wav,Donald Trump,bona-fide,0,1,0.053630937,0.05463384
2769.wav,Donald Trump,bona-fide,0,1,0.10390291,0.104905814
2772.wav,Donald Trump,bona-fide,0,1,0.045240644,0.04624355
2782.wav,Donald Trump,bona-fide,0,1,0.09113592,0.09213882
2790.wav,Donald Trump,bona-fide,0,1,0.07867749,0.07968039
2794.wav,Donald Trump,bona-fide,0,1,0.11112372,0.11212662
2802.wav,Donald Trump,bona-fide,0,1,0.065505475,0.066508375
2806.wav,Donald Trump,bona-fide,0,1,0.07366024,0.07466314
2807.wav,Norm MacDonald,spoof,1,1,0.090198986,0.09120189
2808.wav,Donald Trump,bona-fide,0,1,0.14023253,0.14123544
2821.wav,Donald Trump,bona-fide,0,1,0.06435248,0.06535538
2823.wav,Donald Trump,bona-fide,0,1,0.04559464,0.046597544
2831.wav,Donald Trump,bona-fide,0,1,0.046391528,0.047394432
2839.wav,Donald Trump,bona-fide,0,1,0.08292973,0.08393263
2844.wav,Donald Trump,spoof,1,1,0.05655287,0.057555772
2853.wav,Donald Trump,bona-fide,0,1,0.04650376,0.047506664
2856.wav,Donald Trump,bona-fide,0,1,0.057589505,0.05859241
2862.wav,Donald Trump,bona-fide,0,1,0.054998066,0.05600097
2865.wav,Norm MacDonald,spoof,1,1,0.10515099,0.10615389
2871.wav,Donald Trump,bona-fide,0,1,0.052154355,0.05315726
2873.wav,Donald Trump,bona-fide,0,1,0.11082061,0.11182351
2874.wav,Donald Trump,bona-fide,0,1,0.111080155,0.112083055
2888.wav,Donald Trump,bona-fide,0,1,0.07232122,0.07332412
2902.wav,Donald Trump,bona-fide,0,1,0.05001995,0.051022854
2905.wav,Donald Trump,bona-fide,0,1,0.057369,0.058371905
2917.wav,Donald Trump,bona-fide,0,1,0.0733344,0.0743373
2926.wav,Donald Trump,bona-fide,0,1,0.057096295,0.0580992
2931.wav,Donald Trump,bona-fide,0,1,0.045434963,0.046437867
2934.wav,Donald Trump,bona-fide,0,1,0.07838249,0.07938539
2940.wav,Donald Trump,bona-fide,0,1,0.04567783,0.046680734
2962.wav,Donald Trump,bona-fide,0,1,0.04390997,0.044912875
2963.wav,Donald Trump,bona-fide,0,1,0.03994853,0.040951435
2965.wav,Donald Trump,bona-fide,0,1,0.081820875,0.082823776
2970.wav,Donald Trump,bona-fide,0,1,0.040802155,0.04180506
2975.wav,Donald Trump,bona-fide,0,1,0.106084935,0.107087836
2977.wav,Norm MacDonald,spoof,1,1,0.06245904,0.063461944
2986.wav,Donald Trump,bona-fide,0,1,0.09020135,0.09120425
2993.wav,Donald Trump,bona-fide,0,1,0.0401275,0.041130405
3001.wav,Donald Trump,bona-fide,0,1,0.07956342,0.08056632
3003.wav,Donald Trump,bona-fide,0,1,0.037647743,0.038650647
3024.wav,Donald Trump,bona-fide,0,1,0.16587171,0.16687462
3026.wav,Donald Trump,bona-fide,0,1,0.076061465,0.077064365
3027.wav,Donald Trump,bona-fide,0,1,0.07214688,0.07314978
3030.wav,Donald Trump,bona-fide,0,1,0.048795845,0.04979875
3031.wav,Donald Trump,bona-fide,0,1,0.09000195,0.09100485
3037.wav,Donald Trump,bona-fide,0,1,0.069583885,0.070586786
3051.wav,Donald Trump,bona-fide,0,1,0.04905383,0.050056733
3065.wav,Donald Trump,bona-fide,0,1,0.04494814,0.045951042
3069.wav,Donald Trump,bona-fide,0,1,0.09463559,0.09563849
3070.wav,Donald Trump,bona-fide,0,1,0.086446695,0.087449595
3078.wav,Donald Trump,bona-fide,0,1,0.051279332,0.052282237
3106.wav,Donald Trump,bona-fide,0,1,0.05340815,0.054411054
3107.wav,Donald Trump,bona-fide,0,1,0.053495165,0.05449807
3115.wav,Donald Trump,bona-fide,0,1,0.05459743,0.055600334
3117.wav,Donald Trump,bona-fide,0,1,0.07261564,0.07361854
3122.wav,Donald Trump,bona-fide,0,1,0.057321794,0.0583247
3124.wav,Donald Trump,bona-fide,0,1,0.059237525,0.06024043
3134.wav,Donald Trump,bona-fide,0,1,0.058707066,0.05970997
3137.wav,Donald Trump,bona-fide,0,1,0.07489277,0.07589567
3139.wav,Donald Trump,bona-fide,0,1,0.10956731,0.11057021
3152.wav,Donald Trump,bona-fide,0,1,0.06453609,0.06553899
3164.wav,Donald Trump,bona-fide,0,1,0.050399568,0.051402472
3178.wav,Donald Trump,bona-fide,0,1,0.092995174,0.093998075
3179.wav,Donald Trump,bona-fide,0,1,0.07890752,0.07991042
3189.wav,Donald Trump,bona-fide,0,1,0.052562334,0.053565238
3207.wav,Donald Trump,bona-fide,0,1,0.07287285,0.07387575
3209.wav,Donald Trump,bona-fide,0,1,0.14822304,0.14922595
3213.wav,Donald Trump,bona-fide,0,1,0.09521859,0.09622149
3222.wav,Donald Trump,bona-fide,0,1,0.048184555,0.04918746
3225.wav,Donald Trump,bona-fide,0,1,0.04297638,0.043979283
3258.wav,Donald Trump,bona-fide,0,1,0.07885423,0.07985713
3275.wav,Donald Trump,spoof,1,1,0.14186835,0.14287126
3287.wav,Donald Trump,bona-fide,0,1,0.04776332,0.048766226
3293.wav,Donald Trump,bona-fide,0,1,0.09942493,0.10042783
3295.wav,Donald Trump,bona-fide,0,1,0.06707412,0.06807702
3297.wav,Donald Trump,bona-fide,0,1,0.049662013,0.050664917
3305.wav,Donald Trump,bona-fide,0,1,0.03362906,0.034631964
3308.wav,Donald Trump,bona-fide,0,1,0.06785025,0.06885315
3315.wav,Donald Trump,bona-fide,0,1,0.06276555,0.063768454
3328.wav,Donald Trump,bona-fide,0,1,0.05632917,0.057332072
3341.wav,Donald Trump,bona-fide,0,1,0.07490823,0.07591113
3347.wav,Donald Trump,bona-fide,0,1,0.11843956,0.11944246
3350.wav,Donald Trump,bona-fide,0,1,0.05042111,0.051424015
3378.wav,Donald Trump,bona-fide,0,1,0.08879025,0.08979315
3387.wav,Donald Trump,bona-fide,0,1,0.06992152,0.07092442
3390.wav,Donald Trump,bona-fide,0,1,0.08994432,0.09094722
3392.wav,Donald Trump,bona-fide,0,1,0.06869292,0.06969582
3393.wav,Donald Trump,bona-fide,0,1,0.08376737,0.08477027
3414.wav,Donald Trump,bona-fide,0,1,0.07987757,0.08088047
3436.wav,Donald Trump,bona-fide,0,1,0.045698054,0.04670096
3446.wav,Donald Trump,bona-fide,0,1,0.06598327,0.06698617
